Id,Predicted
candidate11,0.02556991670280695
candidate13,0.9989216327667236
candidate15,0.49494487594347447
candidate17,0.987744927406311
candidate22,0.665997177362442
candidate26,0.983914852142334
candidate33,0.9920966625213623
candidate40,0.9918360412120819
candidate42,0.7149024158716202
candidate49,0.007718754932284355
candidate56,0.01430756270974598
candidate59,0.5580251701176167
candidate60,0.33077559899538755
candidate68,0.0008943301472754683
candidate75,0.9922558963298798
candidate76,0.0063942596316337585
candidate77,0.9793038070201874
candidate79,0.2655177949927747
candidate85,0.018525749444961548
candidate99,0.9793179333209991
candidate100,0.026893683709204197
candidate103,0.13065738350269385
candidate107,0.9910669326782227
candidate108,0.9974520802497864
candidate112,0.5377341099083424
candidate116,0.0904172626323998
candidate117,0.34138106680256897
candidate118,0.11327414680272341
candidate128,0.941871702671051
candidate129,0.08784963004291058
candidate132,0.664020910859108
candidate137,0.5067186979576945
candidate144,0.02267379593104124
candidate146,0.7619557082653046
candidate149,0.9774196147918701
candidate165,0.9956610798835754
candidate167,0.990117073059082
candidate170,0.5002113150549121
candidate174,0.9834836721420288
candidate178,0.09028895292431116
candidate189,0.4532472207210958
candidate191,0.5409994646906853
candidate194,0.419882443966344
candidate195,0.0358547541545704
candidate197,0.0009843032017755604
candidate201,0.49965076288208365
candidate204,0.9174317419528961
candidate223,0.5188821144402027
candidate239,0.1161227710545063
candidate251,0.11916605872102082
candidate252,0.02066979242954403
candidate259,0.9803447425365448
candidate264,0.0053407198283821344
candidate268,0.42945566261187196
candidate274,0.9873098731040955
candidate275,0.991698682308197
candidate278,0.10352004505693913
candidate284,0.5405510030686855
candidate286,0.9989677667617798
candidate290,0.9939831495285034
candidate300,0.30070255615282804
candidate301,0.0018104737355315592
candidate302,0.9321435689926147
candidate309,0.9539431631565094
candidate312,0.8182958364486694
candidate329,0.9340198040008545
candidate333,0.501812033355236
candidate344,0.364756757277064
candidate346,0.9281566739082336
candidate348,0.502007580595091
candidate354,0.9974015057086945
candidate357,0.058287836611270905
candidate360,0.7149678766727448
candidate363,0.9915278255939484
candidate368,0.9994311332702637
candidate373,0.07987383109866641
candidate384,0.5246773846447468
candidate390,0.9508557915687561
candidate394,0.4988184440881014
candidate396,0.00462096648698207
candidate397,0.5053971447050571
candidate398,0.09952087886631489
candidate402,0.2568589368602261
candidate403,0.4920452294172719
candidate412,0.9955138564109802
candidate424,0.005451366072520614
candidate427,0.01867830113042146
candidate431,0.4977863463573158
candidate439,0.9959794580936432
candidate440,0.25923488289117813
candidate450,0.9930478632450104
candidate451,0.9982567131519318
candidate455,0.999273270368576
candidate456,0.022281457291683182
candidate458,0.28090877342037857
candidate459,0.014334537124796043
candidate463,0.5120397973805666
candidate466,0.9976286590099335
candidate483,0.9924935698509216
candidate486,0.047789957374334335
candidate489,0.8563988208770752
candidate491,0.935949057340622
candidate493,0.9995450973510742
candidate498,0.6243006736040115
candidate499,0.0004137225478189066
candidate502,0.011155831132782623
candidate509,0.998723566532135
candidate513,0.987519383430481
candidate524,0.5132537428289652
candidate530,0.991776704788208
candidate544,0.9913242757320404
candidate556,0.5085864970460534
candidate563,0.9897003769874573
candidate564,0.3953871509002056
candidate565,0.6399183720350266
candidate580,0.9890815615653992
candidate582,0.041229791007936
